event_id,source,time_utc,ra,dec,time_error_sec,pos_error_arcsec,energy_flux,event_type,redshift,host_galaxy
E0,GW,2023-02-26 11:00:27,80.16933260938399,-88.93835320711545,145.26282392709717,177.5438949121724,6.121583135487599e-08,GRB,,
E1,XRay,2024-07-15 02:38:02,313.3475921911995,-63.66028190299859,3.5138623114543406,436.56164133908874,1.2541371068993628e-07,NS_Merger,1.658,
E2,XRay,2024-10-02 19:32:10,69.91587802673064,53.42755915143934,226.62451630584,498.56491946712964,1.949173354180867e-08,GRB,0.333,
E3,XRay,2024-12-20 10:40:14,82.33015426013837,-13.368546406315005,178.73715627171782,994.1865994135864,7.627806064250947e-08,Unknown,,
E4,GammaRay,2024-06-21 02:51:40,231.5295051341251,-66.40490634326078,135.0281276200406,2.4843630478992833,1.891194528268562e-07,Supernova,1.243,
E5,Optical,2023-05-10 06:40:03,7.754379871881509,44.79668439927647,117.1315921469456,338.6972162706824,1.4385357325320366e-07,Supernova,,
E6,GammaRay,2024-12-17 11:43:03,64.48605979527969,-39.44270715748181,262.21463560165705,139.82151293470665,5.818586693107864e-08,Supernova,,
E7,GammaRay,2024-04-12 00:40:58,52.84867898903074,9.118119019647864,6.572284209472228,504.42878732160017,2.3997775945585514e-09,Supernova,0.582,
E8,GW,2023-07-14 05:47:57,231.18438734500023,65.81135392740822,41.98959988551103,866.7271661467787,3.1275081202488166e-08,Unknown,1.507,
E9,GammaRay,2023-06-21 21:51:46,282.88278467893633,-16.265456648482527,279.22811178970795,507.57780148730274,1.7096777693866366e-07,Unknown,,
E10,XRay,2024-04-09 03:26:26,291.5369299172131,51.442229739879394,247.88347146573545,178.30614728755,7.100606056663419e-09,Unknown,,
E11,GammaRay,2024-06-05 11:13:02,346.0788540239583,-32.16284862180032,83.2526052544611,443.99455806167515,5.3791464338588646e-08,Supernova,1.726,
E12,Optical,2024-01-13 22:57:54,131.40338051198822,-7.868795743282291,127.02330882506523,357.75743539714193,1.058637877568083e-07,NS_Merger,,
E13,XRay,2024-06-21 04:11:21,352.2375310197545,54.53064089207484,105.09936700829851,57.75584841351338,1.015057921870083e-07,NS_Merger,,
E14,XRay,2024-09-01 18:22:57,176.61406894034914,18.16056793782454,274.79663829790553,623.7339826325352,3.439614035396863e-08,NS_Merger,,
E15,GW,2023-11-21 04:29:35,6.523718005471206,-81.92412063108905,135.5387979831289,80.70631949879186,3.229471923737423e-07,NS_Merger,1.183,
E16,GammaRay,2023-03-26 01:13:33,339.9824131759125,-79.76673002807286,125.71159451555366,26.273357780063208,2.2100170917169007e-07,Supernova,,
E17,GammaRay,2023-03-10 23:50:29,314.49290584159314,51.76909841066214,273.80721250697127,898.9689983191627,3.1001719956410664e-08,Supernova,,
E18,XRay,2023-07-30 04:23:03,90.86472797685346,79.72892699739708,119.23360040889719,453.62243516297593,2.5253484466675317e-08,GRB,,
E19,GW,2023-09-22 01:21:32,200.23571124735633,32.77938567112969,178.8227026667585,68.05818897965757,1.1292130469625547e-07,GRB,,
E20,GammaRay,2024-12-16 04:03:40,186.51019995192797,12.652485575962473,71.83442074191873,843.7301167479096,2.771598441444068e-08,GRB,,
E21,Optical,2023-03-13 00:18:58,55.74108341639337,37.095354351133764,6.208503118817303,919.8904034096006,1.224563878723972e-07,GRB,0.395,
E22,GammaRay,2023-09-26 01:23:45,99.42007218715969,-35.39645569944343,259.03224576591424,861.2830186425829,3.365802802225644e-08,NS_Merger,,
E23,GW,2024-03-22 10:02:00,34.311674526846375,55.29776882943651,190.53545172026855,330.59022094140533,3.115717227669475e-08,NS_Merger,1.009,
E24,GammaRay,2024-06-08 13:00:25,225.02788148053358,-53.54627342939066,112.80512675871111,759.9583935404773,4.3578178149160774e-08,GRB,,
E25,Optical,2024-02-08 00:38:55,116.17088575908566,-5.299133782364166,286.50084307432786,131.93209564143544,1.0970022888110031e-07,NS_Merger,,
E26,GammaRay,2023-08-30 01:29:57,82.36189607424728,69.39674566523405,22.92824541398941,874.7301599893399,7.382801189749033e-09,Supernova,0.023,
E27,Optical,2023-02-17 18:17:34,184.640910063978,-14.398554988514022,2.431666961138424,495.16282859575404,5.8081564848224686e-08,GRB,1.092,
E28,Optical,2023-07-05 00:42:37,249.72641008893808,35.14151237784023,63.5075051454901,262.58433378085005,1.1160225756955185e-08,Supernova,,
